0 		 parameter nu_bar
0.1 		 parameter epsilon

101,1 		 np,nf (ODD Numb of pts per filament(<= NP if ic.dat), Num of filaments : this number must be coherent with the initial condition type set below) 
0.0019 	 ts (Timestep)

10000 		 number of time steps to take
1 		 time steps per plot
50 		 time steps per write to history file

8 		 number of periodic boxes (open filament) 
0 		 initial display mode of filament : 0 for curve, 1 for worm
1,2 		 simulation resolution, rotation resolution

3 		 verbose: Level of diagnostics
gamma_param[0],delta_bar[0],m_flux[0] =1, 1, 0
File written: Wed Sep 18 10:40:42 2002
Comments: 3D 





Ascii values of ux, uy and uz follow
0.0877636 -0.956977 -0.228896
0.0975172 -0.946124 -0.287464
0.109519 -0.931813 -0.346371
0.123663 -0.913574 -0.405239
0.139669 -0.891006 -0.463585
0.157053 -0.863832 -0.520894
0.175124 -0.831932 -0.576685
0.19305 -0.795343 -0.630563
0.209932 -0.754225 -0.682206
0.224881 -0.70881 -0.731325
0.23709 -0.659365 -0.777598
0.245885 -0.606194 -0.820633
0.250774 -0.549675 -0.859993
0.251481 -0.49028 -0.895251
0.247967 -0.428571 -0.926059
0.240429 -0.365153 -0.952184
0.229292 -0.300612 -0.973491
0.215172 -0.235467 -0.989907
0.198838 -0.170154 -1.00136
0.181159 -0.105051 -1.0078
0.163039 -0.0405149 -1.00919
0.145341 0.0230927 -1.00565
0.128811 0.0854114 -0.99748
0.114005 0.146113 -0.985115
0.101271 0.204944 -0.969129
0.0907635 0.261767 -0.950122
0.0825133 0.316582 -0.928648
0.0764833 0.369516 -0.905141
0.0726182 0.420794 -0.879882
0.0708717 0.470701 -0.852986
0.0712205 0.519529 -0.824415
0.0736693 0.567517 -0.794003
0.07825 0.614805 -0.761491
0.0850141 0.661379 -0.726559
0.0940146 0.70705 -0.688868
0.105273 0.751445 -0.648104
0.118723 0.79404 -0.60402
0.134152 0.834226 -0.556469
0.151144 0.871397 -0.505429
0.169073 0.905033 -0.450997
0.187146 0.934759 -0.393375
0.204477 0.96034 -0.332843
0.220165 0.981631 -0.269732
0.23337 0.998494 -0.204416
0.243367 1.01076 -0.137331
0.2496 1.01822 -0.0689927
0.251142 1.02121 2.06989e-16
0.249028 1.01869 0.0689924
Ascii values of ux, uy and uz follow
0.274021 0.995207 -0.069018
0.276425 0.996577 1.57837e-16
0.274446 0.994765 0.0690186
0.268633 0.989261 0.13758
0.259327 0.979877 0.205226
0.24704 0.966355 0.271491
0.232388 0.948465 0.335894
0.216041 0.92611 0.397958
0.198677 0.899387 0.457244
0.180962 0.868583 0.513396
0.163529 0.834116 0.566155
0.146971 0.796476 0.61538
0.131821 0.75618 0.661047
0.118531 0.713732 0.703246
0.107455 0.669579 0.742173
0.0988504 0.624075 0.778097
0.0928834 0.577443 0.811323
0.0896473 0.52976 0.842139
0.0891838 0.480969 0.870771
0.0914984 0.43091 0.897341
0.0965624 0.379365 0.921835
0.104302 0.326114 0.944088
0.114578 0.270979 0.963798
0.127165 0.213869 0.98055
0.141741 0.154801 0.993868
0.157885 0.0939096 1.00326
0.175089 0.0314394 1.00828
0.192779 -0.0322678 1.00854
0.210333 -0.0967983 1.00376
0.227094 -0.161701 0.993803
0.242386 -0.226533 0.978746
0.255533 -0.290908 0.95885
0.265896 -0.354505 0.934527
0.272922 -0.417047 0.906238
0.276204 -0.478245 0.874402
0.275543 -0.537759 0.839345
0.27098 -0.595182 0.801275
0.262788 -0.650042 0.76029
0.25143 -0.701817 0.716411
0.237494 -0.749968 0.669657
0.221636 -0.794003 0.620137
0.204537 -0.833542 0.568107
0.186866 -0.868362 0.513957
0.169271 -0.898402 0.458164
0.152359 -0.92374 0.401228
0.136685 -0.944578 0.343623
0.12273 -0.961218 0.285768
0.110883 -0.974036 0.227989
0.101432 -0.983443 0.170498
0.0945723 -0.98983 0.113379
0.0904192 -0.993522 0.0565928
0.0890293 -0.994728 -3.54429e-16
0.0904192 -0.993522 -0.0565928
0.0945723 -0.98983 -0.113379
0.101432 -0.983443 -0.170498
0.110883 -0.974036 -0.227989
0.12273 -0.961218 -0.285768
0.136685 -0.944578 -0.343623
0.152359 -0.92374 -0.401228
0.169271 -0.898402 -0.458164
0.186866 -0.868362 -0.513957
0.204537 -0.833542 -0.568107
0.221636 -0.794003 -0.620137
0.237494 -0.749968 -0.669657
0.25143 -0.701817 -0.716411
0.262788 -0.650042 -0.76029
0.27098 -0.595182 -0.801275
0.275543 -0.537759 -0.839345
0.276204 -0.478245 -0.874402
0.272922 -0.417047 -0.906238
0.265896 -0.354505 -0.934527
0.255533 -0.290908 -0.95885
0.242386 -0.226533 -0.978746
0.227094 -0.161701 -0.993803
0.210333 -0.0967983 -1.00376
0.192779 -0.0322678 -1.00854
0.175089 0.0314394 -1.00828
